FACET,ID-ES,TERM-ES,SYNONYMS,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20,ES21,ES22,ES23,ES24,ES25,CAT 1,CAT 1,CAT 2,CAT 3,CAT4
http://data.silknow.org/vocabulary/facet/fabrics,73,lampas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/religious_accessories,74,objetos e imágenes devocionales ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabric_passementerie,75,Pasamanería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/festive_attire,76,Indumentaria festiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,77,Espolín y lampas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,78,Indumentaria Complementos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/religious_attire,79,capillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/civil_attire,80,Indumentaria civil (histórica) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,81,encaje,encaje de bolillos,encaje de bolillos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/household_objects,82,textiles domésticos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume,83,Complementos de busto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/other_typesofobjects,84,Brocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,85,Realce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,86,Espolín y brocatel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,87,Espolin realce tissu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,88,Damasco y brocatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,89,Jacquard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,91,Dibujo sobre papel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
